file,ra,dec,grating,root,version,z_best,grade,cand_rank,sep_arcsec,eligible,secure_lowz,secure_highz
aurora-gdn01-v4_g140m-f100lp_1914_419697.spec.fits,150.14798892,2.21247462,G140M,aurora-gdn01-v4,0.9.5.dev2+g80b81b4,-1.0,,631,0.029315762728310626,False,False,False
aurora-gdn01-v4_g235m-f170lp_1914_419697.spec.fits,150.14798892,2.21247462,G235M,aurora-gdn01-v4,0.9.5.dev2+g80b81b4,-1.0,,631,0.029315762728310626,False,False,False
aurora-gdn01-v4_g395m-f290lp_1914_419697.spec.fits,150.14798892,2.21247462,G395M,aurora-gdn01-v4,0.9.5.dev2+g80b81b4,-1.0,,631,0.029315762728310626,False,False,False
aurora-gdn02-v4_g140m-f100lp_1914_506478.spec.fits,189.13525084,62.24466216,G140M,aurora-gdn02-v4,0.9.5.dev2+g80b81b4,6.721656,,1190,0.0472950694118301,False,False,False
aurora-gdn02-v4_g140m-f100lp_1914_511948.spec.fits,189.23378992,62.26396959,G140M,aurora-gdn02-v4,0.9.5.dev2+g80b81b4,-1.0,,732,0.018576019427975266,False,False,False
aurora-gdn02-v4_g235m-f170lp_1914_506478.spec.fits,189.13525084,62.24466216,G235M,aurora-gdn02-v4,0.9.5.dev2+g80b81b4,6.721656,3.0,1190,0.0472950694118301,False,False,True
aurora-gdn02-v4_g235m-f170lp_1914_511948.spec.fits,189.23378992,62.26396959,G235M,aurora-gdn02-v4,0.9.5.dev2+g80b81b4,-1.0,,732,0.018576019427975266,False,False,False
aurora-gdn02-v4_g395m-f290lp_1914_506478.spec.fits,189.13525084,62.24466216,G395M,aurora-gdn02-v4,0.9.5.dev2+g80b81b4,6.721656,3.0,1190,0.0472950694118301,False,False,True
aurora-gdn02-v4_g395m-f290lp_1914_511948.spec.fits,189.23378992,62.26396959,G395M,aurora-gdn02-v4,0.9.5.dev2+g80b81b4,-1.0,,732,0.018576019427975266,False,False,False
bluejay-south-v4_g140m-f100lp_1810_11247.spec.fits,150.08161579,2.29375541,G140M,bluejay-south-v4,0.9.5.dev2+g80b81b4,5.733410800000001,3.0,160,0.024135639805961364,False,False,True
