source_id,field,id,region,ra,dec,sky_group,sky_group_size,n_sources_within_0p5,n_sources_within_1p0,sep_hviding25_A1,sep_barro25,sep_degraaff26,in_hviding25_A1,in_barro25,in_degraaff26,y_strict,picked_by_union,bands_complete,in_support,mag_f444w,crowded_0p5,n_catalogs
2583,primer-uds-north,74752,UDS,34.205808284634855,-5.100499778536657,2436,1,1,1,,0.19357341794033914,,False,True,False,False,False,True,True,25.62888775908902,False,1
3915,primer-uds-north,75975,UDS,34.2103850922664,-5.098736209426378,3696,1,1,1,,,3.2469591291577186e-08,False,False,True,False,True,True,True,24.39154373714412,False,1
5003,primer-uds-north,82791,UDS,34.213812850547654,-5.0870495031759395,4733,1,1,1,0.0,0.1999169076902314,3.478640511018003e-08,True,True,True,False,True,True,True,25.102430777066164,False,3
8880,primer-uds-south,36210,UDS,34.22375691512629,-5.260244247471578,8391,1,1,3,0.0019472483431522299,0.12388424956791788,0.0018746256111662415,True,True,True,False,True,True,True,24.99376650126302,False,3
10951,primer-uds-north,74005,UDS,34.22852611509374,-5.101525160835979,10354,1,1,1,0.0038525933660447406,0.1724821158957586,,True,True,False,False,True,True,True,26.42809828168727,False,2
11111,primer-uds-north,36569,UDS,34.22888129436682,-5.154073107762508,10505,1,1,1,,0.19609095532750187,,False,True,False,False,False,True,True,27.20818106866414,False,1
17782,primer-uds-south,29173,UDS,34.24369983157472,-5.271439645001771,16867,1,1,1,,,0.0070678149289453394,False,False,True,False,True,True,True,26.438011645835754,False,1
18015,primer-uds-south,45540,UDS,34.244199658598184,-5.245871376638504,17092,1,1,1,0.00029517951583347816,0.14242880642451192,0.00017059370641577383,True,True,True,False,True,True,True,22.189115544524853,False,3
19679,primer-uds-north,38196,UDS,34.24782820081633,-5.15199712284704,18703,1,1,1,,,0.003464000228326669,False,False,True,False,True,True,True,25.99146972222338,False,1
24623,primer-uds-south,44341,UDS,34.2604280926169,-5.247422903604769,23471,1,1,1,,,,False,False,False,True,True,True,True,27.088746452749444,False,0
25252,primer-uds-north,71609,UDS,34.261899166352485,-5.105204769792637,24048,3,2,4,0.004349984173334323,,,True,False,False,False,True,True,True,25.80416935411546,True,1
26406,primer-uds-south,53274,UDS,34.2646015217422,-5.23258503671963,25166,1,1,2,,0.1491410243532936,0.0031621482994430624,False,True,True,True,True,True,True,24.898019488177606,False,2
27181,primer-uds-south,38479,UDS,34.26643793326514,-5.256396085813727,25907,1,1,1,0.024148448211205906,,,True,False,False,False,False,True,True,26.79233690879052,False,1
27975,primer-uds-south,15006,UDS,34.26826574004721,-5.295207617845461,26674,1,1,1,,,0.00211162922182928,False,False,True,False,False,True,True,26.039733521171954,False,1
28266,primer-uds-north,19957,UDS,34.26890764112112,-5.176721840771617,26955,1,1,1,0.0,0.1642053995636595,7.061372417524681e-09,True,True,True,True,True,True,True,25.65523344020782,False,3
28999,primer-uds-south,61912,UDS,34.270711414980035,-5.217679394593591,27661,1,1,1,,0.14692141333626516,0.03191531513841377,False,True,True,True,True,True,True,24.356063167149888,False,2
31845,primer-uds-south,65705,UDS,34.277608680824315,-5.210173142158668,30393,1,1,1,,0.13347854489751085,,False,True,False,False,False,True,True,26.36132564556421,False,1
41569,primer-uds-north,39709,UDS,34.296002174241615,-5.14989519964438,39702,1,1,1,,,1.679379479524758e-08,False,False,True,False,True,True,True,24.884307269632874,False,1
47582,primer-uds-north,49209,UDS,34.30582123192057,-5.136478538164039,45424,1,1,1,,0.09313798062364805,,False,True,False,False,False,True,True,26.659453166122347,False,1
50436,primer-uds-south,42814,UDS,34.31057568854347,-5.2498971236997685,48122,2,2,3,0.0051467466869796735,,0.00514671203159857,True,False,True,False,True,True,True,26.39783667953915,True,2
52014,primer-uds-south,56686,UDS,34.31315438357064,-5.226780756897352,49630,1,1,1,0.0012994782221303226,,0.0011396905531843447,True,False,True,True,True,True,True,26.07144696073619,False,2
58431,primer-uds-south,40800,UDS,34.32412198260266,-5.252788854978552,55716,1,1,2,,,3.223399383483775e-08,False,False,True,False,True,True,True,26.960041364154954,False,1
59037,primer-uds-north,44195,UDS,34.32515592884706,-5.143685286004948,56292,1,1,1,0.0,0.06660773083342997,3.09629632580271e-08,True,True,True,True,True,True,True,24.76050435410739,False,3
64163,primer-uds-north,67741,UDS,34.33460340027518,-5.110269315245688,61180,1,1,2,0.0,0.04635515538446346,2.7644422756668374e-08,True,True,True,False,False,True,True,24.675965838252946,False,3
66039,primer-uds-south,23438,UDS,34.33827056315519,-5.28089510517798,62984,1,1,1,0.0,0.09997792053091833,3.423416146960492e-08,True,True,True,True,False,True,True,24.982351196760526,False,3
69421,primer-uds-south,36171,UDS,34.345002561698756,-5.260115382734445,66218,1,1,4,0.0,,,True,False,False,False,True,True,True,26.244026042601305,False,1
73068,primer-uds-south,33451,UDS,34.35246119249341,-5.264609978933602,69715,1,1,2,,0.09930338091612033,,False,True,False,False,True,True,True,26.931981090362225,False,1
77053,primer-uds-north,47411,UDS,34.36071825381506,-5.139081331508376,73520,2,2,2,,0.029618344505035407,,False,True,False,False,True,True,True,26.45595842209628,True,1
78416,primer-uds-north,19857,UDS,34.36351523371202,-5.176964032563154,74830,1,1,2,,0.09437398227040537,0.09143333378534257,False,True,True,True,True,True,True,24.418868982254267,False,2
78552,primer-uds-north,46223,UDS,34.36377295039556,-5.1407861800672805,74957,1,1,1,,0.042949922414253265,,False,True,False,False,False,True,True,26.372817404333702,False,1
80076,primer-uds-south,16053,UDS,34.367103568785325,-5.293524329615932,76424,1,1,1,,0.05593103100076278,,False,True,False,False,True,True,True,25.743408934132866,False,1
80916,primer-uds-north,72350,UDS,34.36895117186716,-5.103941474589491,77229,1,1,1,0.0,0.024748699260876236,4.2742620200014806e-08,True,True,True,False,True,True,True,24.81079899729488,False,3
82379,primer-uds-north,63748,UDS,34.3723696592935,-5.1159123200806995,78636,1,1,1,,,0.0055671824684140414,False,False,True,False,True,True,True,26.306362653713922,False,1
83583,primer-uds-south,26611,UDS,34.37485390496797,-5.275528199347832,79788,1,1,3,0.006716696865249309,,,True,False,False,False,True,True,True,26.735474063167615,False,1
84181,primer-uds-south,7111,UDS,34.37614048644113,-5.310366263509511,80357,1,1,1,0.005242414676489027,,0.005242414676489027,True,False,True,False,True,True,True,25.228091180601552,False,2
86816,primer-uds-south,10036,UDS,34.381671053337776,-5.303742397931006,82885,1,1,1,,0.048823818000248584,,False,True,False,False,False,True,True,25.872484258391978,False,1
87772,primer-uds-south,19521,UDS,34.3836724883297,-5.287732439684146,83804,1,1,1,,0.0556600086719147,,False,True,False,False,True,True,True,26.50397853891601,False,1
89236,primer-uds-north,49501,UDS,34.386713011080914,-5.136107513326662,85205,1,1,2,,0.06074663604315229,2.4208999762736306e-08,False,True,True,False,True,True,True,25.427632500748725,False,2
94497,primer-uds-north,50135,UDS,34.397484075924076,-5.135116306276058,90271,1,1,1,,0.068762080905728,2.6256001140804455e-08,False,True,True,True,True,True,True,25.64726582684428,False,2
101065,primer-uds-north,54183,UDS,34.41074855089838,-5.129664262749892,96578,2,2,2,0.0,0.06208799303207428,4.6600578103104794e-08,True,True,True,False,True,True,True,23.32581662074511,True,3
105458,primer-uds-north,36534,UDS,34.41985962412056,-5.154215088740647,100799,1,1,2,,0.08432754414534806,0.08439875625515465,False,True,True,True,True,True,True,24.270021441355695,False,2
106664,primer-uds-south,42310,UDS,34.42231108764973,-5.250702316556367,101955,1,1,2,,0.12415587769396991,,False,True,False,False,True,True,True,24.41457236148791,False,1
107613,primer-uds-north,49298,UDS,34.42431077485901,-5.136491239839027,102862,1,1,2,0.0,0.07522264546856271,0.07523904785891097,True,True,True,False,True,True,True,24.22077646472296,False,3
120751,primer-uds-south,29813,UDS,34.453354870970635,-5.270716907932999,115504,1,1,1,0.0,,1.103275935760126e-08,True,False,True,False,True,True,True,25.985708197100642,False,2
121629,primer-uds-south,53692,UDS,34.45537626542536,-5.23181398278446,116352,1,1,2,0.0,,2.5033610537444876e-08,True,False,True,False,True,True,True,26.393826491159643,False,2
126807,primer-uds-north,74471,UDS,34.46674884887205,-5.100877034441696,121291,1,1,1,,0.08801051635515018,,False,True,False,False,True,True,True,26.469424434774556,False,1
128283,primer-uds-south,50431,UDS,34.47004102798784,-5.238068116366967,122705,1,1,2,0.002935928250178721,,,True,False,False,False,True,True,True,23.510466927047645,False,1
128779,primer-uds-north,11352,UDS,34.47112739763726,-5.190443445892024,123178,1,1,3,,0.08413192057050319,0.03834301426590855,False,True,True,False,True,True,True,24.256191618736484,False,2
134898,primer-uds-north,25768,UDS,34.483605309671916,-5.168929334327156,129066,1,1,1,,0.09210289461647361,,False,True,False,False,False,True,True,24.844621723204995,False,1
145455,primer-uds-south,37427,UDS,34.50493770078176,-5.257979528161563,139205,1,1,2,,0.04607846226133512,,False,True,False,False,False,True,True,25.758682979509313,False,1
149161,primer-uds-north,8768,UDS,34.515777719738026,-5.19516160998345,142725,2,2,2,,0.06995480629067433,,False,True,False,False,False,True,True,25.33134243396372,True,1
157134,gds-sw,43476,GOODS-S,53.03490293102044,-27.852180251203606,150133,1,1,2,,0.027896531051708674,0.05941375316505419,False,True,True,True,True,True,True,25.49754142358446,False,2
159272,gds-sw,42114,GOODS-S,53.04105359377501,-27.854471723535745,152068,1,1,1,,0.02405624736060703,0.05452772859866318,False,True,True,True,True,True,True,25.40959259498674,False,2
160972,gds-sw,42382,GOODS-S,53.04601373417316,-27.853986000927193,153614,1,1,1,,0.02530479089075332,,False,True,False,False,True,True,True,26.541621434532072,False,1
166519,gds-sw,36474,GOODS-S,53.06029745494757,-27.863532214429966,158712,1,1,1,,0.027361692379373696,,False,True,False,False,True,True,True,27.090324360039887,False,1
166635,gds-sw,45401,GOODS-S,53.06054551385188,-27.84839503745343,158818,1,1,1,,0.028706905486968422,,False,True,False,False,True,True,True,27.039932701486407,False,1
184343,gds,67753,GOODS-S,53.0889996408514,-27.73820289784402,175178,1,1,1,,,0.08105034991736222,False,False,True,False,False,False,False,24.92508871844846,False,1
189430,gds-sw,12550,GOODS-S,53.09737143676241,-27.901314110330638,179892,1,1,3,,0.19572046895052034,,False,True,False,False,False,True,True,23.970988245842356,False,1
189514,gds-sw,12551,GOODS-S,53.09751840702867,-27.9012472968684,179970,1,1,3,,,0.05640878340018166,False,False,True,False,False,True,True,23.816405544594176,False,1
195041,gds-sw,18538,GOODS-S,53.10722426668577,-27.89059472303409,185134,1,1,3,,0.033478485330858086,,False,True,False,False,True,True,True,26.529519978423174,False,1
202262,gds,11107,GOODS-S,53.120210213969315,-27.85633114139752,191807,3,2,3,,0.011756669197238575,,False,True,False,False,False,True,True,26.386289401473174,True,1
205934,gds,30367,GOODS-S,53.12653936355704,-27.818090433946182,195292,1,1,2,,0.0046140244491240795,,False,True,False,False,True,True,True,26.035040947434812,False,1
206765,gds,24555,GOODS-S,53.12805111955162,-27.82917122164247,196067,1,1,2,,0.019728194859812854,,False,True,False,False,False,True,True,26.777346157675243,False,1
209262,gds,56437,GOODS-S,53.13266576210186,-27.76549027177905,198386,1,1,1,,0.013047551415091434,0.03190200000759112,False,True,True,False,True,True,True,24.242103633497262,False,2
