source_id,field,id,ra,dec,y,y_strict,ambiguous,bands_complete,in_hviding25_A1,in_hviding25_B1,in_barro25,in_degraaff26,in_perger25,in_kocevski24,spec_tested,spec_vshaped,mag_f444w,snr_f444w,r_h_arcsec,r_star_v1_arcsec,z_phot,sel_labbe23,sel_kokorev24,sel_kocevski24,sel_perezgonzalez24,sel_barro23,sel_greene24,sel_akins24,picked,region,sky_group,sky_group_size,in_support,oof_score,oof_sel_burden,oof_sel_neg1,oof_sel_05,m_f090w,m_f115w,m_f150w,m_f200w,m_f277w,m_f356w,m_f444w,asnr_f090w,asnr_f115w,asnr_f150w,asnr_f200w,asnr_f277w,asnr_f356w,asnr_f444w,c_f090w_f115w,c_f115w_f150w,c_f150w_f200w,c_f200w_f277w,c_f277w_f356w,c_f356w_f444w,c_f115w_f200w,c_f200w_f356w,c_f277w_f444w,slope_blue,slope_red,v_curv,log_rh,log_rh_over_rstar,n_snr_ge1,n_snr_ge3,f_f090w_ujy,f_f115w_ujy,f_f150w_ujy,f_f200w_ujy,f_f277w_ujy,f_f356w_ujy,f_f444w_ujy,e_f090w_ujy,e_f115w_ujy,e_f150w_ujy,e_f200w_ujy,e_f277w_ujy,e_f356w_ujy,e_f444w_ujy,c_f115w_f200w_ab,c_f150w_f200w_ab,c_f200w_f356w_ab,c_f200w_f444w_ab,c_f277w_f444w_ab,sel_region_matched,sel_region_matched_eight,sel_barro24b,hand_added_barro26
205,primer-uds-north,62457,34.19835544719368,-5.117851209832065,0.0,False,False,False,False,False,False,False,False,False,True,False,27.4832792772922,16.977128389435286,0.1457053181256759,0.0781,4.043898582458496,False,False,False,False,False,False,False,False,UDS,192,2,False,,,,,3.5572932,3.6690285,3.4522572,,2.9869056,3.1944056,3.574316,3.4117937,2.9154754,3.4476218,,4.1674705,4.0697813,3.5258806,-0.11173539,0.21677142,,,-0.20750001,-0.37991047,,,-0.5874105,-0.48550388,2.6248422,3.110346,-0.8365246,0.27082437,6.0,6.0,0.03717004707182546,0.03362423640670049,0.041232814688351875,,0.0637603647249009,0.05264663706827136,0.03687128632696285,0.0024545539767798817,0.0036541314574773344,0.0026268170876015784,,0.001975948478177248,0.0017990522300921198,0.0021718211396638504,,,,,-0.5946562589570905,False,False,False,False
381,primer-uds-north,63597,34.198834598909386,-5.116089888512369,0.0,False,False,False,False,False,False,False,False,False,False,False,27.81548274679369,14.451685782742285,0.1085469100006028,0.0781,3.3075106143951416,False,False,False,False,False,False,False,False,UDS,341,2,False,,,,,4.6030545,4.5230417,4.510438,,4.1260686,4.25468,3.8991227,2.5088513,2.3597047,2.573599,,3.4090385,3.2886696,3.365153,0.08001287,0.01260351,,,-0.12861143,0.3555574,,,0.22694598,-0.41760185,-1.0555617,-0.63795984,-0.9643825,0.14296643,6.0,6.0,0.012856550326308057,0.014534466541350944,0.014723232450272692,,0.022076979609304617,0.01958741634164783,0.02715231737162475,0.0021060011422486965,0.00277021735889719,0.0022587405346696657,,0.0014619021659898715,0.0014633924883924914,0.001878833914590721,,,,,0.22466811189704655,False,False,False,False
451,primer-uds-north,64243,34.199039094182936,-5.115222248392361,0.0,False,False,False,False,False,False,False,False,False,True,False,24.97433359010767,132.34124938516362,0.152911673214577,0.0781,5.0308356285095215,False,False,False,False,False,False,False,False,UDS,420,1,False,,,,,1.7305431,1.5090992,1.6040897,,0.92984223,1.1406516,1.0742444,5.3643355,4.9519906,5.3222766,,5.8376245,5.790732,5.578545,0.22144397,-0.09499054,,,-0.21080935,0.066407226,,,-0.14440212,-0.5738122,0.74916726,1.3229795,-0.8155594,0.29178962,6.0,6.0,0.20302355371730954,0.24903115898983788,0.22815846982643256,,0.42466609725034066,0.3497193534292803,0.37176334229041597,0.001900573656294555,0.0035211400477244137,0.0022276222461008453,,0.002476469896417464,0.002137325806753279,0.002809126738772448,,,,,-0.14445256749129928,False,False,False,False
672,primer-uds-north,62865,34.19977049298434,-5.117330945843389,0.0,False,False,False,False,False,False,False,False,False,True,False,28.201047539599028,8.921477192260824,0.1495155413526894,0.0781,4.846408367156982,False,False,False,False,False,False,False,False,UDS,627,2,False,,,,,3.6908684,3.685745,3.7911026,,3.5601554,3.873554,4.268501,3.365837,2.9739106,3.208933,,3.7244473,3.5001593,2.884735,0.00512345,-0.10535766,,,-0.31339854,-0.39494666,,,-0.7083452,0.43868062,3.3167403,2.8780599,-0.8253137,0.2820353,6.0,6.0,0.032720613008407604,0.03309674808965496,0.029945842853258096,,0.037493854028512505,0.028024715533965575,0.019036231786554867,0.002262586529558494,0.0033915480946966393,0.002423561085134218,,0.001810239404141989,0.0016938206880646798,0.0021337533433441226,,,,,-0.7359477502346778,False,False,False,False
696,primer-uds-north,64457,34.199860874437114,-5.114834111931391,0.0,False,False,False,False,False,False,False,False,False,True,False,28.36405027143772,8.905137951123452,0.0984649397411142,0.0781,4.844560623168945,False,False,False,False,False,False,False,False,UDS,650,1,False,,,,,4.3154645,3.9862652,4.222164,,3.7695694,4.0687475,4.420754,3.2550135,2.944939,3.1504145,,3.7624428,3.40145,2.8829134,0.3291996,-0.2358993,,,-0.299178,-0.35200673,,,-0.65118474,-0.4909272,3.1018026,3.5927298,-1.0067184,0.10063059,6.0,6.0,0.017590258156766195,0.024839885774215295,0.019723848092270322,,0.030850373321671558,0.02334226871894787,0.016382489241537426,0.0013592981056992225,0.0026206704392723375,0.0016928229814195017,,0.0014338927656999956,0.0015574878620241064,0.0018396670923520784,,,,,-0.6872013309800709,False,False,False,False
1139,primer-uds-north,48544,34.201248100374855,-5.137433027605581,0.0,False,False,False,False,False,False,False,False,False,False,False,27.81160186212037,11.426866368999212,0.1226151376055804,0.0781,7.097447872161865,False,False,False,False,False,False,False,False,UDS,1067,2,False,,,,,5.633637,4.1842647,4.140827,,4.2255116,4.1338534,3.895356,0.69370747,2.7371268,2.9365363,,3.0777702,3.2811582,3.1310236,1.4493722,0.043437287,,,0.09165775,0.2384977,,,0.33015546,-4.6086016,-1.6417199,2.9668818,-0.9114559,0.19589305,5.0,5.0,0.0015554974366822566,0.02047942216409851,0.021370213485281682,,0.02009191737629931,0.02195543836742368,0.027249545007671988,0.0020720614475709612,0.002663505772715444,0.002273742386258963,,0.0018548771176550717,0.0016527118994179718,0.0023846909666852575,,,,,0.33084467900893305,False,False,False,False
1567,primer-uds-north,51446,34.20244646196996,-5.133431190434851,0.0,False,False,False,False,False,False,False,False,False,True,False,24.466209471368945,126.96468551030718,0.2720984908147582,0.0781,5.212055206298828,False,False,False,False,False,False,False,False,UDS,1472,1,False,,,,,2.4511635,1.9395666,1.7624826,,0.7985411,0.8945429,0.56617445,3.9743621,4.102511,4.4526896,,5.5171466,5.5408716,5.5370717,0.51159686,0.17708394,,,-0.09600172,0.32836843,,,0.2323667,-2.8755426,-1.1109372,1.7646054,-0.5652739,0.5420751,6.0,6.0,0.10438612305793346,0.1674702656892681,0.19716791278133292,,0.47926018437504647,0.43870271700270846,0.5936305069649828,0.003924484608139673,0.005538453788942227,0.004593531604743653,,0.003850720263502031,0.003442208194158881,0.004675556077495194,,,,,0.232362152398532,False,False,False,False
1706,primer-uds-north,60366,34.20286257825495,-5.121149616192228,0.0,False,False,False,False,False,False,False,False,False,True,False,22.844331671578587,406.6808137969218,0.2762384611985152,0.0781,2.485166072845459,False,False,False,False,False,False,False,False,UDS,1600,1,False,,,,,3.562191,2.909064,2.044348,,0.27777597,-0.5026746,-1.0556701,2.8939347,3.258538,4.039784,,5.9337473,6.444432,6.701177,0.653127,0.864716,,,0.7804505,0.55299556,,,1.333446,-7.065315,-6.6645274,0.40078714,-0.5587159,0.5486331,6.0,6.0,0.03699738506877912,0.068385929658994,0.15204558138595625,,0.7742566502992325,1.5887986633282825,2.6440358012667273,0.004108791597725596,0.005265917421178057,0.005354049951071162,,0.00410132532113339,0.005050319845977879,0.006501501205776185,,,,,1.3334559676281497,False,False,False,False
2464,primer-uds-north,59190,34.20541599407555,-5.122810572716984,0.0,False,False,False,False,False,False,False,False,False,True,False,27.20890103861561,19.755840981184488,0.1613225626375518,0.0781,4.245162963867188,False,False,False,False,False,False,False,False,UDS,2321,1,False,,,,,3.2867079,3.5670867,3.4529877,,2.5263777,2.8755877,3.3034675,3.5591848,1.6808479,3.1392395,,4.4057517,4.3072286,3.6772363,-0.28037864,0.114098884,,,-0.34920993,-0.42787984,,,-0.7770898,0.7620792,3.6562667,2.8941877,-0.7923049,0.31504408,6.0,5.0,0.047989317252220595,0.03701831846433148,0.04120458615305494,,0.09753374670514764,0.0706778218682732,0.047472224692635276,0.0027339605722191203,0.01428205795303561,0.003576323004525414,,0.002381529059831425,0.0019045232313383224,0.0024029462849922685,,,,,-0.7817883079143655,False,False,False,False
2583,primer-uds-north,74752,34.205808284634855,-5.100499778536657,1.0,False,False,True,False,True,True,False,False,False,True,False,25.62888775908902,100.2709474373732,0.1089229954217134,0.0781,6.100034236907959,False,False,False,False,False,False,False,False,UDS,2436,1,True,0.962885290984004,True,True,True,3.0231783,2.5060391,2.8267686,2.7793362,2.58361,1.783403,1.7285898,4.1818275,4.383998,4.0913777,2.9771852,4.822703,5.1447315,5.3010483,0.51713914,-0.32072943,0.047432303,0.19572626,0.800207,0.054813176,-0.27329713,0.9959333,0.85502017,-0.7894506,-3.7357683,-2.9463177,-0.96288043,0.14446855,7.0,7.0,0.06139962659983759,0.09929215435935707,0.07380377596799999,0.07716607225072739,0.09251865954797557,0.19345252833966425,0.203444004807281,0.0018756526277113258,0.0024778006535352993,0.0024681252340817816,0.007881511358565905,0.0014887239925937784,0.0022557487627731464,0.002028942679875915,-0.2737213462923352,0.04836953341499843,0.9978700372196814,1.05254625279896,0.8555389111858862,True,True,True,False
