source_id,region,picked,sel_burden,sel_matched
2583,UDS,False,True,True
3915,UDS,True,True,True
5003,UDS,True,True,True
8880,UDS,True,True,True
10951,UDS,True,True,True
11111,UDS,False,True,True
17782,UDS,True,True,True
18015,UDS,True,True,True
19679,UDS,True,True,True
24623,UDS,True,True,True
25252,UDS,True,True,True
26406,UDS,True,True,True
27181,UDS,False,False,False
27975,UDS,False,True,True
28266,UDS,True,True,True
28999,UDS,True,True,True
31845,UDS,False,False,True
41569,UDS,True,True,True
47582,UDS,False,False,False
50436,UDS,True,True,True
52014,UDS,True,True,True
58431,UDS,True,True,True
59037,UDS,True,True,True
64163,UDS,False,False,True
66039,UDS,False,True,True
69421,UDS,True,True,True
73068,UDS,True,True,True
77053,UDS,True,True,True
78416,UDS,True,True,True
78552,UDS,False,True,True
80076,UDS,True,True,True
80916,UDS,True,True,True
82379,UDS,True,True,True
83583,UDS,True,True,True
84181,UDS,True,False,False
86816,UDS,False,True,True
87772,UDS,True,True,True
89236,UDS,True,True,True
94497,UDS,True,True,True
101065,UDS,True,True,True
105458,UDS,True,True,True
106664,UDS,True,True,True
107613,UDS,True,True,True
120751,UDS,True,True,True
121629,UDS,True,True,True
126807,UDS,True,True,True
128283,UDS,True,True,True
128779,UDS,True,True,True
134898,UDS,False,True,True
145455,UDS,False,True,True
149161,UDS,False,False,False
157134,GOODS-S,True,True,True
159272,GOODS-S,True,True,True
160972,GOODS-S,True,True,True
166519,GOODS-S,True,True,True
166635,GOODS-S,True,True,True
189430,GOODS-S,False,False,False
189514,GOODS-S,False,False,False
195041,GOODS-S,True,True,True
202262,GOODS-S,False,False,False
205934,GOODS-S,True,True,True
206765,GOODS-S,False,True,True
209262,GOODS-S,True,True,True
210911,GOODS-S,True,True,True
212842,GOODS-S,True,True,True
214148,GOODS-S,True,True,True
215176,GOODS-S,False,True,True
233452,GOODS-S,True,True,True
251875,GOODS-S,True,True,True
301324,COSMOS,True,True,True
305821,COSMOS,True,True,True
309737,COSMOS,False,False,False
312610,COSMOS,True,True,True
316329,COSMOS,True,False,False
317222,COSMOS,True,True,True
317568,COSMOS,False,False,False
318732,COSMOS,True,True,True
325315,COSMOS,True,True,True
331636,COSMOS,True,True,True
346105,COSMOS,True,True,True
357556,COSMOS,True,True,True
361493,COSMOS,True,True,True
362724,COSMOS,True,True,True
366504,COSMOS,True,True,True
378189,COSMOS,True,True,True
381318,COSMOS,False,True,True
383096,COSMOS,True,True,True
386649,COSMOS,True,True,True
389457,COSMOS,False,False,False
389576,COSMOS,True,True,True
393440,COSMOS,True,True,True
401609,COSMOS,True,True,True
414231,COSMOS,False,False,False
416141,COSMOS,False,True,True
416779,COSMOS,True,True,True
428125,COSMOS,True,True,True
428195,COSMOS,True,True,True
465479,GOODS-N,False,False,False
469414,GOODS-N,True,True,True
470144,GOODS-N,True,True,True
474195,GOODS-N,False,False,False
479449,GOODS-N,True,True,True
482712,GOODS-N,True,True,True
485386,GOODS-N,True,True,True
489368,GOODS-N,True,True,True
489501,GOODS-N,True,True,True
490982,GOODS-N,True,True,True
498369,GOODS-N,True,False,False
506785,GOODS-N,False,False,False
511912,GOODS-N,False,True,True
512221,GOODS-N,True,True,True
519153,GOODS-N,False,False,False
519381,GOODS-N,False,True,True
519713,GOODS-N,False,False,False
559252,CEERS,True,True,True
559649,CEERS,True,True,True
562006,CEERS,True,True,True
563101,CEERS,False,True,False
564842,CEERS,False,True,True
566490,CEERS,True,True,True
568695,CEERS,True,True,True
569893,CEERS,False,False,False
575904,CEERS,False,False,False
577548,CEERS,True,True,True
578604,CEERS,True,True,True
580427,CEERS,True,True,True
580499,CEERS,True,True,True
582061,CEERS,True,True,True
582122,CEERS,True,True,True
584284,CEERS,True,True,True
589379,CEERS,False,False,False
590975,CEERS,True,True,True
591417,CEERS,False,True,True
591916,CEERS,True,True,True
592333,CEERS,True,True,True
603690,CEERS,True,True,True
604428,CEERS,True,True,True
604497,CEERS,False,False,False
606156,CEERS,True,True,True
606709,CEERS,False,True,True
607094,CEERS,False,True,True
607861,CEERS,True,True,True
615242,CEERS,True,True,True
618550,CEERS,False,True,True
624327,CEERS,True,True,True
628553,CEERS,True,True,True
629133,CEERS,True,True,True
