rule,source_id,field,id,selected_record,selected_rerun,outcome,note,z_phot,in_support
labbe23,2583,primer-uds-north,74752,False,False,color criterion,,6.100034236907959,True
labbe23,3915,primer-uds-north,75975,False,False,color criterion,,2.3604953289031982,True
labbe23,5003,primer-uds-north,82791,True,True,selected,,4.691159248352051,True
labbe23,8880,primer-uds-south,36210,True,True,selected,,4.759895324707031,True
labbe23,10951,primer-uds-north,74005,True,True,selected,,7.129388332366943,True
labbe23,11111,primer-uds-north,36569,False,False,color criterion,,6.348576545715332,True
labbe23,17782,primer-uds-south,29173,False,False,color criterion,,7.129854202270508,True
labbe23,18015,primer-uds-south,45540,True,True,selected,,3.5563695430755615,True
labbe23,19679,primer-uds-north,38196,True,True,selected,,7.135456562042236,True
labbe23,24623,primer-uds-south,44341,False,False,detection gate,,7.636297702789307,True
labbe23,25252,primer-uds-north,71609,False,False,color criterion,,7.133871078491211,True
labbe23,26406,primer-uds-south,53274,True,False,selected,record selects; seven-band rerun with fresh apertures does not,6.005431652069092,True
labbe23,27181,primer-uds-south,38479,False,False,detection gate,,2.3496365547180176,True
labbe23,27975,primer-uds-south,15006,False,False,color criterion,,3.389786958694458,True
labbe23,28266,primer-uds-north,19957,True,True,selected,,4.757785320281982,True
labbe23,28999,primer-uds-south,61912,True,True,selected,,4.52282190322876,True
labbe23,31845,primer-uds-south,65705,False,False,detection gate,,6.436645984649658,True
labbe23,41569,primer-uds-north,39709,True,True,selected,,5.658624649047852,True
labbe23,47582,primer-uds-north,49209,False,False,detection gate,,7.164916038513184,True
labbe23,50436,primer-uds-south,42814,True,True,selected,,0.8433279991149902,True
labbe23,52014,primer-uds-south,56686,False,False,color criterion,,5.656572341918945,True
labbe23,58431,primer-uds-south,40800,False,False,detection gate,,5.4395670890808105,True
labbe23,59037,primer-uds-north,44195,True,True,selected,,15.479340553283691,True
labbe23,64163,primer-uds-north,67741,False,False,compactness criterion,,4.553906440734863,True
labbe23,66039,primer-uds-south,23438,False,False,compactness criterion,,4.585654258728027,True
labbe23,69421,primer-uds-south,36171,False,False,color criterion,,4.44737434387207,True
labbe23,73068,primer-uds-south,33451,False,False,detection gate,,7.153848648071289,True
labbe23,77053,primer-uds-north,47411,True,True,selected,,4.576568603515625,True
labbe23,78416,primer-uds-north,19857,True,True,selected,,4.3381805419921875,True
labbe23,78552,primer-uds-north,46223,False,False,color criterion,,8.899354934692383,True
labbe23,80076,primer-uds-south,16053,False,False,color criterion,,6.08278226852417,True
labbe23,80916,primer-uds-north,72350,True,True,selected,,2.39176344871521,True
labbe23,82379,primer-uds-north,63748,True,True,selected,,7.136462211608887,True
labbe23,83583,primer-uds-south,26611,False,False,detection gate,,8.990806579589844,True
labbe23,84181,primer-uds-south,7111,True,True,selected,,7.876816749572754,True
labbe23,86816,primer-uds-south,10036,False,False,color criterion,,6.621140003204346,True
labbe23,87772,primer-uds-south,19521,False,False,detection gate,,5.662346839904785,True
